category,notice,notice_code,publish_date,title
Corporate Insolvency,"Date of meeting: NOTICE IS HEREBY GIVEN pursuant to Rule 15.13 of the Insolvency (England and Wales) Rules 2016, that a virtual meeting of the creditors of the above named Company will be held on the date and time specified in this notice for the purposes mentioned in Section 100 of the Insolvency Act 1986. The Insolvency Practitioner named below is qualified to act in this matter. A list of names and addresses of the Company's creditors may be inspected, free of charge, at the address given below, between 10.00am and 4.00pm on the two business days preceding the date of the meeting. Creditors entitled to attend and vote at the virtual meeting may participate either in person or by proxy. A creditor can attend the virtual meeting and vote, and is entitled to vote if they have delivered proof of their debt by no later than 4 pm on the business day before the meeting. If a creditor cannot attend, or does not wish to attend, but still wishes to vote at the virtual meeting, they can ether nominate a person to attend on their behalf, or they may nominate the Chairman of the virtual meeting, who will be a director of the Company, to vote on their behalf. Such creditors must still submit the proof of their claim by no later than 4 pm on the business day before the meeting but proxies will be accepted by the Chairman up to the commencement of the virtual meeting. For the purposes of voting, any secured creditors are required (unless they surrender their security) to lodge a statement with the Insolvency Practitioners prior to the Meeting, giving particulars of their security, the date when it was given and its assessed value. Creditors must deliver proof of their claim and their proxy using the details provided below. By Order of the Board Daniel Farrow, Director",4569504,"5 March 2024, 10:10",Meetings of Creditors
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Nathan Kay Skelcher and assumed the name of Shannon Kay Skelcher.",4567934,"5 March 2024, 12:00",Changes of Name
Environment,"The Scottish Ministers give notice that they have determined that the project for the installation of eighty one new bollards on the A830 at Glenfinnan, is a relevant project within the meaning of section 55A of the Roads (Scotland) Act 1984 (“the 1984 Act”) and falls within Annex II of Directive 2011/92/EU on the assessment of certain public and private projects on the environment, but that having regard to – (a) the selection criteria contained in Annex III of that Directive, namely (i) the use of natural resources, in particular land, soil, water and biodiversity; (ii) the production of waste; (iii) pollution and nuisances; (iv) the risks to human health (for example due to water contamination or air pollution); (v) nature reserves and parks; (vi) areas classified or protected under national legislation; Natura 2000 areas designated by Member States pursuant to Directive 92/43/EEC and Directive 2009/147/EC, (b) the results of the Environmental Screening Assessment under section 55A(2) of the 1984 Act and the Assessment under regulation 48 of the Conservation (Natural Habitats, &c.) Regulations 1994 (“the 1994 Regulations”) concluded that there would be no likely significant effects on the Loch Shiel Special Protection Area and the Ardgour Pinewoods Special Area of Conservation, (c) the information set out in the Record of Determination dated 8 February 2024, available at , the project does not require an Environmental Impact Assessment. The main reasons for the conclusion that no Environmental Impact Assessment is required are: (a) Construction activities are restricted to the carriageway boundary; (b) The works will not impact the special qualities for which the Loch Shiel National Scenic Area, the Loch Shiel Site of Special Scientific Interest and the Fassfern to Loch Ailort Road Cuttings Geological Conservation Review Site are designated; (c) Although the works have connectivity to the Loch Shiel Special Protection Area and the Ardgour Pinewoods Special Area of Conservation, the assessment under the 1994 Regulations concluded that the works would not result in any likely significant effects on the qualifying features of these sites; and (d) Any potential impacts of the works are expected to be temporary, short-term, and limited to the construction phase. The features of the project which are envisaged to avoid or prevent significant adverse effects on the environment are: (a) Containment measures will be in place to prevent debris or pollutants from entering the surrounding environment; (b) The works will be undertaken during daylight hours to minimise disturbance; and (c) Measures will be in place to ensure appropriate removal and disposal of waste.",4567990,"5 March 2024, 12:00",Environmental Protection
Corporate Insolvency,"Registered Office: Level 8, 110 Queen Street, Glasgow, G1 3BX. Principal Trading Address: 2nd Floor, North Saltire Court, 20 Castle Terrace, Edinburgh, Scotland, EH1 2EN. Joint Liquidator's Name and Address: Julie Tait of Grant Thornton UK LLP, 7 Castle Street, Edinburgh, EH2 3AH. Joint Liquidator's Name and Address: Stuart Preston of Grant Thornton UK LLP, Level 8, 110 Queen Street, Glasgow, G1 3BX. I, Julie Tait and Stuart Preston, give notice that, on 28 February 2024, we were appointed as joint liquidators of the above company by a resolution of a meeting of the creditors. A liquidation committee was not established. It is not my intention to summon a further meeting of creditors to establish a liquidation committee unless requested to do so by one tenth in value of the company’s creditors. Contact Matthew Drinkwater on 0161 953 6386 or Matthew.Drinkwater@uk.gt.com. Julie Tait, Joint Liquidator",4569503,"5 March 2024, 10:10",Appointment of Liquidators
Personal Legal,,4569397,,Deceased Estates
Personal Legal,,4569513,,Deceased Estates
Corporate Insolvency,"Date of meeting: NOTICE IS HEREBY GIVEN pursuant to Rule 15.13 of the Insolvency (England and Wales) Rules 2016, that a virtual meeting of the creditors of the above named Company will be held on the date and time specified in this notice for the purposes mentioned in Section 100 of the Insolvency Act 1986. The Insolvency Practitioner named below is qualified to act in this matter. A list of names and addresses of the Company's creditors may be inspected, free of charge, at the address given below, between 10.00am and 4.00pm on the two business days preceding the date of the meeting. Creditors entitled to attend and vote at the virtual meeting may participate either in person or by proxy. A creditor can attend the virtual meeting and vote, and is entitled to vote if they have delivered proof of their debt by no later than 4 pm on the business day before the meeting. If a creditor cannot attend, or does not wish to attend, but still wishes to vote at the virtual meeting, they can ether nominate a person to attend on their behalf, or they may nominate the Chairman of the virtual meeting, who will be a director of the Company, to vote on their behalf. Such creditors must still submit the proof of their claim by no later than 4 pm on the business day before the meeting but proxies will be accepted by the Chairman up to the commencement of the virtual meeting. For the purposes of voting, any secured creditors are required (unless they surrender their security) to lodge a statement with the Insolvency Practitioners prior to the Meeting, giving particulars of their security, the date when it was given and its assessed value. Creditors must deliver proof of their claim and their proxy using the details provided below. By Order of the Board Christopher Smith, Director",4569505,"5 March 2024, 10:10",Meetings of Creditors
Planning,"You can see the Planning Register with details of all planning applications on the Council's website www.clacksweb.org.uk/eplanning/ or at the Council Offices, Kilncraigs, Greenside Street, Alloa FK10 1EB from 9.00 a.m. to 5.00 p.m. Monday - Friday (except Bank Holidays). The applications listed below are likely to be of a public interest. If you want the Council to take note of your views on any application you can comment online at the address above or write to the Council's Head of Development Services at Kilncraigs, Greenside Street, Alloa, FK10 1EB within 14 days or e-mail planning@clacks.gov.uk. When you make a comment, your views will be held on file and published on the Council's website. You will be notified of the Council's decision. If you need any advice, please contact Clackmannanshire Council at Kilncraigs, Greenside Street, Alloa FK10 1EB Tel: 01259 450000. 23/00269/FULL 51-57 Odds, Broad Street, Alloa, Clackmannanshire Installation Of Replacement Windows to No. 51 and 53 (Retrospective) and 55 and 57 at 51-57 Odds Development In A Conservation Area 23/00270/FULL Various Addresses At Mar Street, Alloa, Clackmannanshire nstallation Of Replacement Windows Development In A Conservation Area 23/00273/FULL 4 - 6 Thornbank Road, Dollar, Clackmannanshire Installation Of Replacement Windows Development In A Conservation Area 24/00012/FULL Name Various Addresses At, High Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof, Render And Replacement Windows at Nos 2, 4, 6, 8, 12 & 14 High Street Development In A Conservation Area 24/00013/FULL 18 And 20, High Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof, Render And Replacement Windows Development In A Conservation Area 24/00014/FULL 24 And 28, High Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof, Render And Replacement Windows Development In A Conservation Area 24/00015/FULL 32 High Street, Clackmannan, Clackmannanshire, FK10 4JG Installation Of Replacement Roof, Render And Replacement Windows Development In A Conservation Area 24/00016/FULL Various Addresses At, High Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof, Render And Replacement Windows at 36, 38, 42, 44, 46 & 48 High Street Development In A Conservation Area 24/00017/FULL Various Addresses At, High Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof, Render And Replacement Windows at 1, 3, 5 & 7 High Street Development In A Conservation Area 24/00018/FULL 11 High Street, Clackmannan, Clackmannanshire, FK10 4JG Installation Of Replacement Roof, Render And Replacement Windows Development In A Conservation Area 24/00020/FULL 41 And 43, Main Street, Clackmannan, Clackmannanshire Installation Of Replacement Roof (Retrospective), Render And Replacement Windows Development In A Conservation Area",4567991,"5 March 2024, 12:00",Town and Country Planning
Corporate Insolvency,"On , a petition was presented to Lerwick Sheriff Court by the craving the Court to order that SQC PLANT LTD, (registered office) (company registration number SC500727) be wound up by the Court and to appoint a liquidator. All parties claiming an interest must lodge Answers with within 8 days of intimation, service and advertisement.",4567996,"5 March 2024, 12:00",Petitions to Wind Up (Companies)
Partnerships,a limited partnership registered in Scotland with number SL6032 (the “ ”) Notice is hereby given that on 29 February 2024 the Partnership was dissolved.,4567994,"5 March 2024, 12:00",Dissolution of Partnership
Corporate Insolvency,,4567998,"5 March 2024, 12:00",Appointment of Liquidators
Corporate Insolvency,"NOTICE is hereby given that on a petition was presented to the Sheriff of Glasgow Sheriff Court by for an order under the to wind up Bouzy Glasgow (1) Limited a company incorporated under the companies act registered under company number SC704307 and having its registered office at and to appoint an interim liquidator; in which petition the Sheriff by interlocutor dated appoints notice of the import of the petition and of this deliverance, and of the particulars specified in the Act of Sederunt to be advertised once in the and once in the newspaper; Ordains the said Bouzy Glasgow (1) Limited and any other persons interested, if they intend to show cause why the prayer of the petition should not be granted, to lodge Answers in the hands of the Sheriff Clerk at , within eight days after intimation and advertisement; under certifications; all of which notice is hereby given.",4567999,"5 March 2024, 12:00",Petitions to Wind Up (Companies)
Corporate Insolvency,"At a General Meeting of the above-named Company, duly convened and held at on at 11:00 the following resolutions were passed as a Special resolution and Ordinary resolution respectively: ""That the Company be wound up voluntarily"" and ""that (IP No ) of , be appointed Liquidator of the Company."" For further details contact on telephone number or email DATED THIS 29TH DAY OF FEBRUARY 2024",4567997,"5 March 2024, 12:00",Resolutions for Winding-up
Planning,"These applications, associated plans and supporting documents can be viewed online on the South Ayrshire Council website at: . Comments may be submitted online, in writing, or at planning.development@south-ayrshire.gov.uk by 26/03/2024 Further information on how we will process and publish your personal information can be found in our Privacy Policy south-ayrshire.gov.uk/planning/privacy.aspx LISTED BUILDING IN CONSERVATION AREA Ref: 24/00123/LBC, Alterations to listed building, installation of railings to boundary wall, widening of vehicular accesses and installation of gates at 36 South Beach, Troon, KA10 6EF",4567992,"5 March 2024, 12:00",Town and Country Planning
Corporate Insolvency,Type of appointment: Compulsory Liquidation Name of office holder: Office holder IP number: Postal address of office holder: Capacity of office holder: Quantity Surveying Activities / architechtural activities. Liquidator Date of appointment: Office holder’s telephone no and email address: and Alternative contact for enquiries on proceedings: Tel: Email: By whom appointed: Kircaldy Sheriff Court,4568000,"5 March 2024, 12:00",Appointment of Liquidators
Partnerships,a limited partnership registered in Scotland with number SL18730 (the “ ”) Notice is hereby given that on 29 February 2024 the Partnership was dissolved.,4567993,"5 March 2024, 12:00",Dissolution of Partnership
Corporate Insolvency,Office holder’s telephone no and email address: and Alternative contact for enquiries on proceedings: Tel: Email:,4568002,"5 March 2024, 12:00",Appointment of Liquidators
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that IMWS (Nominees) Limited A/C LNSTAX has transferred their entire interest in Access Capital Fund VI Growth Buy-out Europe LP, a limited partnership registered in Scotland with number SL013335 (the “ ”) to Schroder & Co Nominees Limited. IMWS (Nominees) Limited A/C LNSTAX has ceased to be a limited partner of the Partnership. Schroder & Co Nominees Limited has been admitted as a limited partner of the Partnership.",4568004,"5 March 2024, 12:00",Statement by General Partner
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that IMWS (Nominees) Limited A/C LNSTAX has transferred their entire interest in Access Capital Fund V LP Growth Buy-out Europe, a limited partnership registered in Scotland with number SL007129 (the “ ”) to Schroder & Co Nominees Limited. IMWS (Nominees) Limited A/C LNSTAX has ceased to be a limited partner of the Partnership. Schroder & Co Nominees Limited has been admitted as a limited partner of the Partnership.",4568006,"5 March 2024, 12:00",Statement by General Partner
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that IMWS (Nominees) Limited a/c 1164328, IMWS (Nominees) Limited a/c 1164612, IMWS (Nominees) Limited a/c 1164617, IMWS (Nominees) Limited a/c 1164712 and IMWS (Nominees) Limited A/C LNSTAX have each transferred their entire interest in Access Capital Fund VII Growth Buy-out Europe LP, a limited partnership registered in Scotland with number SL028357 (the “ ”) to Schroder & Co Nominees Limited. IMWS (Nominees) Limited a/c 1164328, IMWS (Nominees) Limited a/c 1164612, IMWS (Nominees) Limited a/c 1164617, IMWS (Nominees) Limited a/c 1164712 and IMWS (Nominees) Limited A/C LNSTAX have ceased to be limited partners of the Partnership. Schroder & Co Nominees Limited has been admitted as a limited partner of the Partnership. MIS Nominees (Luxembourg) S.a r.l. a/c LNSOFFSHORE has transferred its entire interest in the Partnership to Schroder & Co Nominees Limited and Schroder & Co Bank AG. MIS Nominees (Luxembourg) S.a r.l. a/c LNSOFFSHORE has ceased to be a limited partner of the Partnership. Schroder & Co Bank AG has been admitted as a limited partner of the Partnership.",4568007,"5 March 2024, 12:00",Statement by General Partner
Corporate Insolvency,"At a General Meeting of the above-named Company, duly convened, and held at on at 3pm the following resolutions were passed; No 1. as a Special Resolution and No 2. as an Ordinary Resolution of the Company. 1. “That the Company be wound up voluntarily” and 2. “That Licensed Insolvency Practitioner, of , be appointed Liquidator of the Company”. Date of appointment: Further information about the liquidation is available from: IP Number of , Tel: Email: Alternative contact: Tel: Email:",4568003,"5 March 2024, 12:00",Resolutions for Winding-up
State,"Office of the Secretary of Commissions, St. Andrew’s House, Edinburgh, EH1 3DG The King having been pleased to approve that Miss Alexandra Margaret Cairncross DL be appointed Vice Lord-Lieutenant for the Area of Perth and Kinross to act for His Majesty’s Lord-Lieutenant during his absence from the area, sickness or inability to act, a Commission in her favour bearing the date 20 February 2024 has been signed by the Lord-Lieutenant. March 2024",4569138,"5 March 2024, 12:00",Lord Lieutenants
Planning,"The applications listed below are proposals requiring planning permission and/or Listed Building Consent which have been submitted to Stirling Council and may be viewed online at www.stirling.gov.uk/onlineplanning. Written comments may be made to the Planning & Building Standards Service Manager, Planning Services, Stirling Council, Teith House, Kerse Road, Stirling FK7 7QA (Telephone 01786 233660) within 21 days of this notice. 23/00741/LBC Former Bank Of Scotland, 63 High Street, Dunblane, FK15 0EJ Dunblane Square Ltd Internal alterations - removal of internal partition walls and erection of new partition walls, and install doors; external alterations - erection of rear extension; replacement of window with door; installation of secondary acoustic triple glazing units; air intake and exhaust vents on roof; installation of Solar PV panels on rear roof; air source heat pumps, and air conditioning condenser 24/00126/LBC Kalaba, 13 Kenilworth Road, Bridge Of Allan, FK9 4DU Ms J Black Alterations to existing approval ref 23/00163/LBC to incorporate an internal double door opening in lieu of previously approved single door opening to lounge and incorporation of additional internal door opening between bedrooms on the upper floor to improve fire safety 24/00112/LBC Monterey Jacks Stirling, 1 Corn Exchange Road, Stirling, FK8 2HX Monterey Jacks Internal alterations to form residential suites for holiday letting (additional information and details referencing approval 21/00173/LBC)",4569139,"5 March 2024, 12:00",Town and Country Planning
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that IMWS (Nominees) Limited A/C LNSTAX has transferred their entire interest in Access Secondary Bridge Fund LP, a limited partnership registered in Scotland with number SL009734 (the “ ”) to Schroder & Co Nominees Limited. IMWS (Nominees) Limited A/C LNSTAX has ceased to be a limited partner of the Partnership. Schroder & Co Nominees Limited has been admitted as a limited partner of the Partnership.",4568005,"5 March 2024, 12:00",Statement by General Partner
Personal Legal,,4569404,,Deceased Estates
Planning,"The applications listed in the schedule may be viewed online at www.fife.gov.uk/planning Public access computers are available in Local Libraries. Comments can be made online or in writing to Fife Council, Planning Services, Fife House, North Street, Glenrothes, KY7 5LT within 21 days from the date of this notice. 24/00389/LBC Seton House Cross Wynd Falkland Cupar Fife KY15 7BE Ms Sue Bourne Listed building consent for internal alterations to dwellinghouse and installation of rainwater goods 23/03324/LBC Collessie Church Collessie Brae Collessie Cupar Fife KY15 7RQ Mr Peter Wilson Listed building consent for internal alterations to remove staircase and associated structural and fabric work 24/00064/LBC Carnbee House Carnbee Anstruther Fife KY10 2RU Mr Arthur Docker Listed building consent for internal alterations including widening of door opening to dwellinghouse 24/00435/FULL Dalquhamie Cottage Helen Lane North Queensferry Inverkeithing Fife KY11 1JY Mr Gary Bald Erection of dwellinghouse, formation of hardstanding, formation of access and erection of replacement boundary wall 24/00373/LBC Ground Floor 124 Bonnygate Cupar Fife KY15 4LF Mr L Giachetto Listed building consent for replacement door and repairs to stonework, including re-pointing, replacement of worn stones, replacement ground floor window cills and doorpiece columns 24/00086/LBC Pittenweem Inn 42 Charles Street Pittenweem Anstruther Fife KY10 2QJ Wild Piglet Ltd Listed building consent for internal and external works to include installation of windows, doors, flue and air source heat pumps, roofing works, stonework/repointing and paintwork, replacement guttering, erection of rear extension, boundary wall and gate (including part demolition) and bin storage area, formation of hardstanding, display of illuminated signage and internal downtakings to reconfigure layout 24/00383/FULL East Sands Beach East Sands St Andrews Fife Name and Address of Applicant Wild Scottish Sauna Siting of mobile sauna unit 24/00392/LBC Harbour Kiosk Shorehead St Andrews Fife St Andrews Harbour Trust Listed building consent for investigational works to harbour 24/00376/LBC 5 St Andrews Road Crail Anstruther Fife KY10 3UQ Mr J Cowmeadow Listed building consent for installation of replacement windows to dwellinghouse (amendment to previously approved 23/01670/LBC) 24/00380/LBC 39 Kinghorn Road Burntisland Fife KY3 9EA Fife Council Listed building consent for replacement stairwell window to rear of flatted dwelling 24/00367/LBC 7 And 8 The Dale Kilconquhar Leven Fife KY9 1LY Fife Council Listed building consent for installation of replacement windows and doors to dwellinghouse 24/00201/LBC 18 Mid Shore Pittenweem Anstruther Fife KY10 2NL Mr Alan Garvin Listed building consent for installation of replacement windows to dwellinghouse 24/00137/LBC 16 Watson Place Pittenweem Road Anstruther Fife KY10 3ED Dr Sarah Sneddon Listed building consent for 2no replacement windows",4569140,"5 March 2024, 12:00",Town and Country Planning
Personal Legal,,4569398,,Deceased Estates
Personal Legal,,4569514,,Deceased Estates
Corporate Insolvency,"Place of meeting: Date of meeting: Time of meeting: 4:00 pm. At an extraordinary general meeting of the members of the above-named Company, duly convened and held at the place, time and on the date specified above, the following resolutions were passed as a special resolution, and an ordinary resolution respectively: that the Company be wound up voluntarily, and the Joint Liquidators be appointed.",4569502,"5 March 2024, 10:40",Resolutions for Winding-up
Corporate Insolvency,"Notice is given that by written resolutions, the sole member of the company passed a special resolution that the company be wound up voluntarily, and an ordinary resolution appointing the Liquidator for the purposes of the winding-up. The requisite voting majority was received on 27 February 2024 Dimitar Mihaylov Grancharov, Director.",4569499,"5 March 2024, 10:20",Resolutions for Winding-up
Personal Legal,,4569542,,Deceased Estates
Corporate Insolvency,"On , a petition was presented to Greenock Sheriff Court by the craving the Court to order that KENNETH MARTIN PHOTOGRAPHY LTD, (registered office) (company registration number SC635810) be wound up by the Court and to appoint a liquidator. All parties claiming an interest must lodge Answers with within 8 days of intimation, service and advertisement.",4569141,"5 March 2024, 12:00",Petitions to Wind Up (Companies)
Planning,"The Secretary of State gives notice of the proposal to make an Order under section 247 of the above Act to authorise the stopping up of a length of Footpath 0227/11/1 and the whole of Restricted Byway 0227/23A/1 at Eaton upon Tern in Shropshire. If made, the Order would authorise the stopping up only to enable development as permitted by Shropshire Council under reference, 22/01866/FUL. Copies of the draft Order and relevant plan will be available for inspection during normal opening hours at Market Drayton Library, 51 Cheshire Street, Market Drayton, TF9 1PH in the 28 days commencing on 05 March 2024, and may be obtained, free of charge, from the addresses stated below quoting NATTRAN/WM/S247/5638. Any person may object to the making of the proposed order by stating their reasons in writing to the Secretary of State at nationalcasework@dft.gov.uk or National Transport Casework Team, Tyneside House, Skinnerburn Road, Newcastle upon Tyne NE4 7AR, quoting the above reference. Objections should be received by midnight on 02 April 2024. You are advised that your personal data and correspondence will be passed to the applicant/agent to enable your objection to be considered. If you do not wish your personal data to be forwarded, please state your reasons when submitting your objection.",4569517,"5 March 2024, 12:00",Town and Country Planning
Planning,"THE SECRETARY OF STATE hereby gives notice of the proposal to make an Order made under section 249 of the above Act to authorise the extinguishment of vehicular rights at Market Street, Bank Street, Broadway, Bridge Street and Hall Ings at Bradford in the Metropolitan Borough of Bradford. Copies of the draft order and relevant plan may be inspected during normal opening hours at City Hall, Bradford, BD1 1HY in the 28 days commencing on 05 March 2024 and may be obtained free of charge, from the Secretary of State (quoting reference NATTRAN/Y&H/S249/5587) at the address stated below. ANY PERSON MAY OBJECT to the making of the proposed order by stating their reasons in writing to the Secretary of State at nationalcasework@dft.gov.uk or National Transport Casework Team, Tyneside House, Skinnerburn Road, Newcastle upon Tyne NE4 7AR, quoting the above reference. Objections should be received by midnight on 02 April 2024. You are advised that your personal data and correspondence will be passed to the applicant/agent to enable your objection to be considered. If you do not wish your personal data to be forwarded, please state your reasons when submitting your objection.",4569518,"5 March 2024, 12:00",Town and Country Planning
Transport,"1. The NEWHAM LONDON BOROUGH COUNCIL, hereby gives notice that it intends to make an Order –, Thames Water, Lead Pipe Replacement Scheme E7 & E15, (Temporary Prohibition of Traffic), Order 2024. The general effect of which will be to prohibit pedestrian traffic from proceeding or waiting on the public highway. 2. The Order will be made to enable Thames Water and it contractors to carry out highway works, on or near the highway. 3. The prohibition applies from Monday 1st April 2024 until Tuesday 30th September 2025 or on completion of the works, whichever is the sooner. 4. The general effect of which will be to close the roads listed in schedule 1 below, at such times the when appropriate traffic signs are displayed in accordance with the Traffic Signs Regulations and General Directions 2016(c). 5. Where required Pedestrian and vehicular access will be diverted via local adjacent footways and roads, one way streets where necessary, may be reversed or reverted to two-way working, road closures and parking prohibitions will apply when appropriate signs are displayed in accordance with the Traffic Signs Regulations and General Directions 2016(c).. 6. This Order shall apply to vehicles being used for Fire, Ambulance or Police purposes, or with the permission or at the direction of a Police Constable in uniform, or authorised Officer. Nothing in paragraph 2 of the Order shall apply to vehicles necessarily used in connection with the works. (a) 1984 c.27 (b) 1991 c.40 (c) S.I. 2016/362 (d) LB Newham 107/2011 AVENUE ROAD, E7 DISRAELI ROAD, E7 KNOX ROAD, E7 RIDLEY ROAD, E7 BARWICK ROAD, E7 ESSEX STREET, E7 LEONARD ROAD, E7 STORK ROAD, E7 BIGNOLD ROAD, E7 FIELD ROAD, E7 LORNE ROAD, E7 SUFFOLK STREET, E7 CAPEL ROAD, E7 FOREST ROAD, E7 MACDONALD ROAD, E7 TYLNEY ROAD, E7 CLOVA ROAD, E7 GODWIN ROAD, E7 MARGERY PARK ROAD, E7 WELLINGTON ROAD, E7 DEAN STREET, E7 KNIGHTON ROAD, E7 REGINALD ROAD, E7 YORK ROAD, E7 ASH ROAD, E15 ELEANOR ROAD, E15 ST JAMES ROAD, E15 TORRENS SQUARE, 15 BOLTON ROAD, E15 MANBEY GROVE, E15 TAVISTOCK ROAD, E15 VICARAGE ROAD, E15",4569516,"5 March 2024, 12:00",Road Traffic Acts
Partnerships,"Notice is hereby given, pursuant to Section 10 of the Limited Partnerships Act 1907, that DEVK Rückversicherungs- und Beteiligungs-AG – DEVK RE and DEVK Allgemeine Lebensversicherungs-AG have each transferred their entire interests in Unigestion Secondary Opportunity II LP, a limited partnership registered in Scotland with number SL007099 (the “ ”) to DEVK Deutsche Eisenbahn Versicherung Sach- und HUK-Versicherungsverein A.G. DEVK Rückversicherungs- und Beteiligungs-AG – DEVK RE has ceased to be a limited partner of the Partnership. DEVK Allgemeine Lebensversicherungs-AG has ceased to be a limited partner of the Partnership.",4569142,"5 March 2024, 12:00",Statement by General Partner
Corporate Insolvency,"On , notice was published in that a petition had been presented to the Court of Session seeking an order that MS Properties (Edinburgh) Limited (company registration number SC536436), a company incorporated under the Companies Acts and having its Registered Office at be wound up by the Court and a liquidator appointed. On on the motion of the Petitioner that Petition was dismissed by the Court and an order made that notice of the dismissal be published.",4568001,"5 March 2024, 12:10",Dismissal of Winding Up Petition
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Hannah Rachael Whitaker and assumed the name of Hannah Rachael Whitaker Flower.",4567916,"5 March 2024, 12:10",Changes of Name
Corporate Insolvency,"NOTICE is hereby given that on a Petition was presented to the Sheriff at Perth by having their registered office at (the “Company”) craving the Court that the Company be wound up by the Court and that an interim liquidator be appointed in which Petition the Sheriff at Perth by interlocutor dated appointed all persons having an interest to lodge Answers in the hands of the Sheriff Clerk at within 8 days after intimation, service or advertisement",4569143,"5 March 2024, 12:00",Petitions to Wind Up (Companies)
Corporate Insolvency,"A Petition to wind up the above named company having its Registered Office at , presented on , by , , claiming to be a creditor of the company, will be heard at on at (or as soon thereafter as the petition can be heard). Any person intending to appear on the hearing of the petition (whether to support or oppose it) must give notice of intention to do so to the petitioner or its solicitor in accordance with Rule 7.14 by 4 pm on .",4570025,"5 March 2024, 12:10",Petitions to Wind Up (Companies)
Personal Legal,,4569559,,Deceased Estates
Personal Legal,,4569554,,Deceased Estates
Personal Legal,,4569553,,Deceased Estates
Other Notices,"The Company Law Supplement details information notified to, or by, the Registrar of Companies. The Company Law Supplement to is published weekly on a Tuesday. These supplements are available to view at https://www.thegazette.co.uk/browse-publications. Alternatively use the search and filter feature which can be found here https://www.thegazette.co.uk/all-notices on the company number and/or name.",4523677,"5 March 2024, 12:00",Other Notices
Personal Legal,,4569408,,Deceased Estates
category,notice,notice_code,publish_date,title
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of JITU MIAH BIBI and assumed the name of JITU MIAH.",4567927,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Molly Jo Muirhead and assumed the name of Molly Jo Hardy.",4567929,"5 March 2024, 12:00",Changes of Name
Personal Legal,Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on as person(s) having parental responsibility on behalf of who is a child and single and a British Citizen under of the abandoned the name of Xinyuan Gu and assumed the name of Elisse Xinyuan Gu.,4567933,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Nikie Siabishahrivar and assumed the name of Nikie Rosa Siabi-Shahrivar.",4567924,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Patricia Louise Davison and assumed the name of Tricia-Louise Naomi Davison.",4567926,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Emma Louise Spence and assumed the name of Emma Louise King.",4567930,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Connor Andrew Gibson and assumed the name of Connor Andrew Cawley-Batten.",4567925,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Molly Isabella Elizabeth Cayzer-Colvin and assumed the name of Mollie Isabella Elizabeth Cayzer-Colvin.",4567928,"5 March 2024, 12:00",Changes of Name
Corporate Insolvency,"A Petition to wind up the above-named company (registered No. 12241042) whose registered office address is presented on By of (the Petitioner) claiming to be a creditor of the company, will be heard at Date: Time: hours (or as soon thereafter as the petition can be heard) Any person intending to appear on the hearing of the petition (whether to support or oppose it) must give notice of that intention in accordance with rule 7.14 of the Insolvency (England and Wales) Rules 2016 by 16.00 hours on .",4570026,"5 March 2024, 12:10",Petitions to Wind Up (Companies)
